Timestamp,X,Y
2024-06-06 21:09:23,1223,217
2024-06-06 21:09:23,1248,325
2024-06-06 21:09:23,1251,337
2024-06-06 21:09:23,1233,321
2024-06-06 21:09:23,948,298
2024-06-06 21:09:23,666,305
2024-06-06 21:09:23,351,331
2024-06-06 21:09:23,345,334
2024-06-06 21:09:23,336,333
2024-06-06 21:09:23,531,318
2024-06-06 21:09:24,969,336
2024-06-06 21:09:24,1300,327
2024-06-06 21:09:24,1497,322
2024-06-06 21:09:24,1521,428
2024-06-06 21:09:24,1509,635
2024-06-06 21:09:24,1441,711
2024-06-06 21:09:24,948,649
2024-06-06 21:09:24,459,552
2024-06-06 21:09:24,276,326
2024-06-06 21:09:24,75,100
2024-06-06 21:09:25,0,0
2024-06-06 21:09:25,0,16
2024-06-06 21:09:25,8,212
2024-06-06 21:09:25,150,514
2024-06-06 21:09:25,320,655
2024-06-06 21:09:25,764,675
2024-06-06 21:09:25,1347,659
2024-06-06 21:09:25,1674,685
2024-06-06 21:09:25,1761,504
2024-06-06 21:09:25,1755,134
2024-06-06 21:09:26,1629,16
2024-06-06 21:09:26,1766,206
2024-06-06 21:09:26,1919,636
2024-06-06 21:09:26,1617,891
2024-06-06 21:09:26,1109,969
2024-06-06 21:09:26,691,746
2024-06-06 21:09:26,538,363
2024-06-06 21:09:26,986,164
2024-06-06 21:09:26,1516,207
2024-06-06 21:09:27,1480,251
2024-06-06 21:09:27,781,56
2024-06-06 21:09:27,349,32
2024-06-06 21:09:27,128,146
2024-06-06 21:09:27,65,400
2024-06-06 21:09:27,341,760
2024-06-06 21:09:27,782,734
2024-06-06 21:09:27,888,443
2024-06-06 21:09:27,1218,125
2024-06-06 21:09:27,1720,185
2024-06-06 21:09:28,1818,613
2024-06-06 21:09:28,1478,850
2024-06-06 21:09:28,942,482
2024-06-06 21:09:28,544,193
2024-06-06 21:09:28,250,172
2024-06-06 21:09:28,45,292
2024-06-06 21:09:28,0,538
2024-06-06 21:09:28,0,817
2024-06-06 21:09:28,21,998
2024-06-06 21:09:28,294,1079
2024-06-06 21:09:29,761,1079
2024-06-06 21:09:29,1293,1079
2024-06-06 21:09:29,1667,1079
2024-06-06 21:09:29,1878,1005
2024-06-06 21:09:29,1919,731
2024-06-06 21:09:29,1890,403
2024-06-06 21:09:29,1652,129
2024-06-06 21:09:29,1333,15
2024-06-06 21:09:29,923,0
